mm_main_double_rnd_280,mm_main_double_rnd_400,mm_main_double_rnd_750,mm_main_double_rnd_900,mm_main_double_rnd_1200,mm_main_double_rnd_1500,mm_main_double_rnd_1900,mm_main_double_rnd_2100,mm_main_double_rnd_2330,mm_main_double_rnd_2500,mm_main_double_rnd_2750,mm_main_double_rnd_3000
0.162008 ,0.426801 ,3.170998 ,5.298050 ,12.788222 ,29.499993 ,56.794100 ,75.889663 ,103.961539 ,127.758690 ,170.806706 ,201.985193 
0.136832 ,0.419740 ,3.184182 ,5.301642 ,12.735308 ,29.599896 ,56.755309 ,75.802543 ,103.888651 ,127.914932 ,169.742138 ,201.988472 
0.165269 ,0.397028 ,3.181591 ,5.281773 ,12.697132 ,29.676972 ,56.710116 ,75.640158 ,104.167268 ,127.973532 ,171.152689 ,202.231497 
0.163889 ,0.423612 ,3.256861 ,5.316072 ,12.801415 ,29.648078 ,56.758197 ,75.966695 ,104.327152 ,127.779665 ,169.443437 ,201.813386 
0.164885 ,0.418128 ,3.312303 ,5.284669 ,12.719998 ,29.599178 ,56.726780 ,75.833927 ,104.732772 ,128.116075 ,169.708111 ,202.077214 
0.138261 ,0.398811 ,3.184304 ,5.287863 ,12.806578 ,29.503781 ,56.724706 ,75.472746 ,104.143781 ,128.098088 ,167.749664 ,202.162824 
0.133925 ,0.419527 ,3.199325 ,5.315136 ,12.809585 ,29.599606 ,56.771157 ,75.683857 ,104.690459 ,128.308931 ,168.930513 ,202.108816 
0.163622 ,0.420237 ,3.220128 ,5.294739 ,12.718002 ,29.413975 ,56.889373 ,75.616453 ,104.639431 ,127.927530 ,167.896152 ,201.959566 
0.135328 ,0.399934 ,3.239385 ,5.297782 ,12.716967 ,29.599063 ,56.873646 ,75.590672 ,104.079223 ,127.966620 ,170.365410 ,202.033020 
0.165201 ,0.421426 ,3.295918 ,5.300487 ,12.811122 ,29.393790 ,56.809617 ,75.618980 ,104.248795 ,127.933319 ,168.939395 ,202.071910 
0.165517 ,0.398853 ,3.179654 ,5.313117 ,12.821305 ,29.655037 ,56.756055 ,75.084806 ,104.070887 ,128.021982 ,170.103076 ,201.584994 
0.167078 ,0.420184 ,3.169085 ,5.299143 ,12.798134 ,29.624872 ,56.894133 ,75.749821 ,103.924531 ,128.041904 ,168.571291 ,202.086429 
0.168112 ,0.420091 ,3.262008 ,5.267509 ,12.795825 ,29.617113 ,56.805275 ,75.521789 ,104.304924 ,127.695691 ,172.014404 ,202.759372 
0.138252 ,0.421193 ,3.152663 ,5.303512 ,12.784441 ,29.637647 ,56.908876 ,75.400920 ,104.240947 ,127.748500 ,169.973090 ,201.424813 
0.163028 ,0.398832 ,3.193630 ,5.314061 ,12.705095 ,29.621614 ,56.715789 ,75.900170 ,104.340457 ,128.119024 ,168.126305 ,201.843519 
0.163597 ,0.396701 ,3.191311 ,5.313472 ,12.806679 ,29.683120 ,56.849860 ,75.718189 ,104.077374 ,127.875848 ,169.940349 ,201.387631 
0.145131 ,0.399126 ,3.183187 ,5.312690 ,12.772633 ,29.496469 ,56.811133 ,75.701203 ,104.563255 ,127.928565 ,167.917677 ,202.187525 
0.161879 ,0.397936 ,3.139719 ,5.301490 ,12.817384 ,29.600098 ,56.811414 ,75.860849 ,104.210008 ,128.296785 ,168.428943 ,202.050903 
0.162931 ,0.399452 ,3.176545 ,5.308073 ,12.787886 ,29.586862 ,56.820635 ,75.812202 ,104.271923 ,127.849550 ,168.357028 ,201.869534 
0.134964 ,0.420228 ,3.177656 ,5.295209 ,12.810558 ,29.646304 ,56.664236 ,75.799611 ,104.269648 ,128.854989 ,168.025133 ,202.149911 
0.138098 ,0.398208 ,3.223291 ,5.305468 ,12.745964 ,29.637033 ,56.947385 ,75.977144 ,104.109451 ,128.299431 ,168.380174 ,202.109300 
0.163818 ,0.417159 ,3.193210 ,5.289269 ,12.815724 ,29.672470 ,56.854737 ,75.861140 ,104.224245 ,127.683396 ,169.440404 ,202.167853 
0.162117 ,0.421623 ,3.218651 ,5.308240 ,12.791835 ,29.617591 ,56.821023 ,75.908007 ,104.290965 ,127.520189 ,168.353444 ,203.652048 
0.168059 ,0.399216 ,3.150871 ,5.302011 ,12.780757 ,29.616886 ,56.803623 ,75.693883 ,104.336594 ,128.143953 ,168.307171 ,202.120789 
0.136413 ,0.397538 ,3.207530 ,5.302956 ,12.813294 ,29.542439 ,56.679838 ,75.984454 ,104.455810 ,127.518526 ,169.479152 ,202.417445 
0.161837 ,0.422531 ,3.192025 ,5.304473 ,12.797607 ,29.509286 ,57.089410 ,75.740385 ,104.725487 ,128.840900 ,170.109043 ,202.257789 
0.161980 ,0.417640 ,3.171923 ,5.537078 ,12.801824 ,29.776484 ,56.757246 ,75.609075 ,103.860663 ,128.010756 ,169.303778 ,201.935541 
0.164944 ,0.420380 ,3.197226 ,5.310061 ,12.775505 ,29.622828 ,56.892741 ,75.691465 ,104.571564 ,128.080538 ,170.141238 ,201.711368 
0.167596 ,0.418038 ,3.201142 ,5.291877 ,12.850645 ,29.639659 ,56.788373 ,76.003095 ,104.104494 ,127.304512 ,168.476783 ,202.529655 
0.155458 ,0.418884 ,3.208021 ,5.297506 ,12.759271 ,29.608456 ,56.745507 ,75.787297 ,103.788824 ,127.869706 ,168.878258 ,202.827162 
