mm_main_int_rnd_280,mm_main_int_rnd_400,mm_main_int_rnd_750,mm_main_int_rnd_900,mm_main_int_rnd_1200,mm_main_int_rnd_1500,mm_main_int_rnd_1900,mm_main_int_rnd_2100,mm_main_int_rnd_2330,mm_main_int_rnd_2500,mm_main_int_rnd_2750,mm_main_int_rnd_3000
0.080360 ,0.152802 ,0.987116 ,1.804295 ,4.865347 ,14.558259 ,32.397020 ,42.927730 ,60.685809 ,76.641116 ,98.703605 ,128.326252 
0.067122 ,0.150516 ,0.972927 ,1.831091 ,4.829146 ,14.845507 ,32.371890 ,43.231332 ,61.331698 ,76.885706 ,97.327383 ,128.439213 
0.055392 ,0.148030 ,0.966403 ,1.923298 ,4.851176 ,14.896358 ,32.712809 ,43.333379 ,61.303680 ,76.475779 ,97.921294 ,128.087501 
0.054259 ,0.144950 ,0.984410 ,1.845806 ,4.867267 ,14.946164 ,32.572518 ,43.253198 ,60.783453 ,76.239652 ,98.057351 ,127.981980 
0.065508 ,0.145746 ,0.973993 ,1.884634 ,4.857650 ,14.953951 ,32.315027 ,42.976354 ,61.488783 ,76.597746 ,97.264733 ,127.725957 
0.056500 ,0.145986 ,0.989449 ,1.831037 ,4.877728 ,14.936180 ,32.596121 ,43.593257 ,61.147326 ,76.879747 ,97.657276 ,130.148787 
0.054364 ,0.174852 ,0.965234 ,1.887151 ,4.878124 ,14.730098 ,32.564670 ,43.473963 ,61.615688 ,76.925224 ,97.704218 ,128.125025 
0.052237 ,0.171881 ,0.968415 ,1.964325 ,4.873448 ,14.984722 ,32.500355 ,43.077907 ,61.521987 ,76.328678 ,98.153453 ,130.388319 
0.075970 ,0.155468 ,0.977196 ,1.951438 ,4.844912 ,14.982580 ,32.393299 ,43.150454 ,61.626355 ,77.105606 ,98.434724 ,128.813475 
0.079582 ,0.166704 ,0.999949 ,1.852537 ,4.836706 ,14.796981 ,32.461706 ,43.638949 ,61.256940 ,76.685634 ,98.106008 ,128.418741 
0.081053 ,0.144888 ,0.980535 ,1.958902 ,4.838163 ,14.864194 ,32.753534 ,43.071416 ,60.698975 ,76.339348 ,97.809813 ,128.389655 
0.081269 ,0.167914 ,0.969023 ,1.874922 ,4.832911 ,14.976959 ,32.455428 ,43.026518 ,61.467869 ,76.741338 ,98.006268 ,129.236074 
0.078654 ,0.147851 ,0.971944 ,1.884089 ,4.865787 ,14.770998 ,32.506208 ,42.546466 ,61.571841 ,76.353224 ,98.229456 ,129.307594 
0.074713 ,0.148877 ,0.969466 ,1.928213 ,4.830584 ,14.608370 ,32.489492 ,43.547229 ,61.237038 ,76.871361 ,97.256551 ,129.048012 
0.050503 ,0.167766 ,0.996270 ,1.851772 ,4.826787 ,15.235271 ,32.486004 ,43.866632 ,60.883751 ,76.669426 ,98.560197 ,127.831421 
0.051071 ,0.169496 ,0.976120 ,1.848012 ,4.864783 ,14.880229 ,32.220945 ,43.064460 ,62.286301 ,76.779369 ,98.993498 ,129.227483 
0.074278 ,0.168514 ,0.985242 ,1.852198 ,4.829682 ,14.719393 ,32.382628 ,43.034462 ,62.098435 ,76.802260 ,98.788750 ,128.396943 
0.054191 ,0.146353 ,0.971574 ,1.894908 ,4.855165 ,14.782403 ,32.468398 ,42.952644 ,61.293067 ,76.612230 ,97.933980 ,128.635980 
0.060781 ,0.145022 ,0.973691 ,1.951282 ,4.876946 ,15.104642 ,32.584603 ,42.751915 ,62.160526 ,76.737368 ,99.711166 ,130.273184 
0.053841 ,0.155877 ,0.969372 ,1.843438 ,4.861342 ,14.843902 ,32.371606 ,43.431906 ,61.410502 ,76.319314 ,98.460136 ,128.258986 
0.050456 ,0.145367 ,0.980260 ,1.866202 ,4.837486 ,14.631042 ,32.584114 ,42.940364 ,61.718259 ,76.317746 ,97.459791 ,128.668974 
0.055718 ,0.171069 ,0.969419 ,1.844524 ,4.858954 ,14.981403 ,32.439684 ,42.682096 ,61.308968 ,76.616128 ,98.295845 ,128.417392 
0.050484 ,0.151796 ,0.970336 ,1.855052 ,4.846308 ,14.904153 ,32.313411 ,42.540701 ,61.838932 ,76.377726 ,98.268281 ,129.147944 
0.080823 ,0.166842 ,0.996110 ,1.801189 ,4.834696 ,14.803128 ,32.606547 ,42.595778 ,61.463807 ,76.361159 ,97.989502 ,128.431674 
0.052584 ,0.169297 ,0.974821 ,1.844687 ,4.858606 ,14.931959 ,32.801331 ,43.055826 ,60.765481 ,76.751586 ,97.476619 ,128.868485 
0.076007 ,0.177291 ,0.975230 ,1.826276 ,4.864452 ,14.751201 ,32.344734 ,42.816999 ,61.328355 ,76.441914 ,97.943508 ,128.616221 
0.050710 ,0.147897 ,0.978609 ,1.834854 ,4.842817 ,14.447196 ,32.635384 ,43.073698 ,61.201684 ,76.771208 ,97.431921 ,128.243466 
0.054143 ,0.165987 ,0.972008 ,1.896090 ,4.857730 ,14.574107 ,32.518694 ,43.180325 ,62.486700 ,76.180170 ,98.654333 ,129.270188 
0.052505 ,0.147917 ,0.976510 ,1.846413 ,4.835067 ,14.611434 ,32.543580 ,43.201140 ,61.628736 ,76.174149 ,98.427299 ,128.817362 
0.053789 ,0.148904 ,0.999523 ,1.952607 ,4.868500 ,14.919358 ,32.647279 ,42.471820 ,61.017677 ,76.656171 ,98.038913 ,129.262628 
